Id,SalePrice
2658,136752.5941
2718,168332.6932
2414,218399.5715
1989,102948.1822
625,199475.7588
333,78056.67588
1327,116592.8929
858,169844.5183
95,183151.3166
1568,155611.1274
2482,143920.9994
1364,106785.0272
2584,137448.0559
818,306617.2995
2673,154349.5
2089,145608.5484
1297,134820.8425
790,107308.4849
2616,202632.8504
720,174065.8357
222,155488.2389
557,126245.4605
1148,177919.9416
2766,143538.8923
534,173992.6251
1452,123031.46
630,152579.0843
2648,126888.6672
125,157134.4556
1904,43206.60727
1670,112857.1615
756,102015.8433
717,221919.5714
1032,172862.7351
852,218016.3429
1731,166766.5921
2639,139491.267
2071,108564.5369
1267,133601.1945
1851,203019.0288
567,188254.4806
2439,198812.2525
1898,153288.6303
647,161782.1609
2256,219006.4006
979,94347.92356
1444,220546.2357
2485,116248.482
157,139683.7363
88,124636.0571
2003,89117.49726
186,194605.1601
1425,238186.2651
2695,119910.391
738,106523.6593
395,144166.4495
1353,151305.9239
1878,148238.6071
390,141626.4187
1456,221816.7662
1103,323600.1254
1387,127170.9668
2070,162896.7093
1199,162509.9648
2479,174081.4806
501,313387.7896
2362,79750.15423
1718,258564.5961
2188,74729.8791
1483,168090.1793
2557,95525.77636
437,352446.7982
2224,196014.0714
1628,168515.0967
397,156855.5947
587,208190.0084
971,151529.4696
2611,133031.5293
1887,91038.85454
2399,355507.6225
2148,198326.5015
304,124175.4374
1997,141672.6848
2817,149101.1899
1431,213004.8334
427,341635.3961
263,133627.1649
598,193438.4631
2895,234650.7018
687,141493.294
1822,126996.8667
2191,120845.8351
179,135937.0368
1009,244033.7164
2010,124151.6259
1991,144464.7468
1411,201139.5135
1721,248982.4622
1144,191724.7444
593,194301.5343
575,285698.9581
1249,173276.7393
1604,113062.0403
1064,414428.5655
1923,148832.3498
1988,95763.94429
2325,179871.7685
114,218761.0226
2700,165270.1255
217,126141.2624
343,184958.2551
386,221735.26
2005,135067.2071
2908,148754.1401
1814,232271.6054
2446,451106.1843
208,178703.2067
1679,107978.4289
822,291406.1388
6,184198.4115
1781,361807.7635
2397,318946.9168
2340,324663.2122
1618,186192.2315
2843,163911.5034
1061,371497.0619
2786,121490.2271
1935,133084.6453
1341,139487.9928
521,255598.2038
2136,148909.3356
996,221511.2548
227,132179.9707
135,164016.5719
1167,184881.7387
294,226867.0035
1776,211735.394
540,163109.0564
1717,257155.6593
2303,140526.7824
116,185094.836
127,132777.1974
1371,123486.5492
1014,150256.8417
1507,94472.73181
702,139496.1573
750,145921.3459
261,150392.7361
1559,86012.90278
577,215176.8258
2812,183643.7855
2080,130265.2499
1368,97641.18332
2376,112224.5962
659,99372.11036
1235,133878.6128
332,52068.25707
1917,135206.5855
2094,247658.0313
1460,259368.9636
1471,237758.5031
1509,102851.2875
1922,137458.2669
433,420270.0451
460,262809.7906
1116,245223.2176
1137,167696.0721
53,159679.4909
2354,263113.566
1475,186710.2832
1761,426964.3179
842,153693.7863
2739,174961.104
2509,153338.1529
1007,192696.526
2610,178949.2082
1952,62836.47529
2719,152863.2477
2921,71883.45816
1966,156648.8384
292,117637.3922
1204,185957.4743
1829,233441.6289
2419,181365.0172
391,165741.4095
798,96201.49151
481,190962.8289
193,204309.477
555,105042.2638
899,78286.15139
2357,191974.0004
328,148236.6471
1356,116890.1554
1154,109918.0148
1730,180471.5077
2249,167138.1589
1119,277010.304
2856,142943.4736
1394,139909.1495
2587,134805.2157
61,323801.4491
2661,163644.6229
2711,113819.442
1147,181798.4926
757,124237.9663
2623,116986.9603
2378,145385.2759
1413,131871.6585
1722,236229.5851
1112,245938.0202
1623,204957.5045
1201,178492.2219
1513,127526.6091
957,322412.6665
1171,231697.2506
1145,187041.353
2726,224737.3566
703,134371.8405
760,129391.6151
1964,157650.5513
2512,179327.7795
159,99061.81195
1281,169867.5242
468,199620.1394
290,117565.9228
665,96919.42494
1463,249163.1115
1792,217614.9686
923,145069.5578
500,303929.6975
1408,178120.1783
331,88710.06128
170,161947.5116
2192,93080.60999
2571,241619.0961
2314,179090.0451
2647,74042.84733
422,382888.5559
2457,323903.0064
1838,203287.2224
2805,240093.5503
1645,155424.4027
1711,299756.9057
2825,242173.7305
322,284415.9204
2103,257607.5052
342,105440.7042
600,125266.7359
488,195897.1568
1725,295264.9208
2246,283079.1113
2847,141683.9078
806,209244.6336
530,239517.2697
963,200409.6564
2678,98266.18643
171,95481.64143
2401,389901.219
805,210367.0133
2259,279350.1531
1748,181205.1792
